SOV_A3,
AGO
BDI
BEN
BFA
BWA
CAF
CIV
CMR
COD
COG
DJI
DZA
EGY
ERI
ETH
GAB
GHA
GIN
GMB
GNB
GNQ
KEN
LBR
LBY
LSO
MAR
MDG
MLI
MOZ
MRT
MWI
NAM
NER
NGA
RWA
SAH
SDN
SDS
SEN
SLE
SOL
SOM
SWZ
TCD
TGO
TUN
TZA
UGA
ZAF
ZMB
ZWE
