SOV_A3,
AFG
BGD
BTN
CH1
IND
JPN
KAZ
KGZ
KHM
KOR
LAO
LKA
MMR
MNG
MYS
NPL
PAK
PHL
PRK
RUS
THA
TJK
TKM
TWN
UZB
VNM
